Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Enterprise State Community College",Enterprise,Alabama,31.315846,-85.942956,1,place,,,"Enterprise, AL 36330",,,,,Enterprise,AL,"Coffee County",36330,US,"TIGER/Line® from the US Census Bureau",,
"Faulkner University",Montgomery,Alabama,32.356988,-86.257817,1,place,,,"Montgomery, AL 36101",,,,,Montgomery,AL,"Montgomery County",36101,US,"TIGER/Line® from the US Census Bureau",,
"Huntingdon College",Montgomery,Alabama,32.356988,-86.257817,1,place,,,"Montgomery, AL 36101",,,,,Montgomery,AL,"Montgomery County",36101,US,"TIGER/Line® from the US Census Bureau",,
"Jacksonville State University",Jacksonville,Alabama,33.853627,-85.758295,1,place,,,"Jacksonville, AL 36265",,,,,Jacksonville,AL,"Calhoun County",36265,US,"TIGER/Line® from the US Census Bureau",,
"University of West Alabama",Livingston,Alabama,32.5843,-88.18725,1,place,,,"Livingston, AL 35470",,,,,Livingston,AL,"Sumter County",35470,US,"TIGER/Line® from the US Census Bureau",,
"Marion Military Institute",Marion,Alabama,32.608995,-87.350401,1,place,,,"Marion, AL 36756",,,,,Marion,AL,"Perry County",36756,US,"TIGER/Line® from the US Census Bureau",,
"University of North Alabama",Florence,Alabama,34.82298,-87.661652,1,place,,,"Florence, AL 35630",,,,,Florence,AL,"Lauderdale County",35630,US,"TIGER/Line® from the US Census Bureau",,
"Northeast Alabama Community College",Rainsville,Alabama,34.49425,-85.84775,1,place,,,"Rainsville, AL 35986",,,,,Rainsville,AL,"Dekalb County",35986,US,"TIGER/Line® from the US Census Bureau",,
"Snead State Community College",Boaz,Alabama,34.146146,-86.146749,1,place,,,"Boaz, AL 35956",,,,,Boaz,AL,"Etowah County",35956,US,"TIGER/Line® from the US Census Bureau",,
"Tuskegee University",Tuskegee,Alabama,32.372144,-85.66671,1,place,,,"Tuskegee, AL 36083",,,,,Tuskegee,AL,"Macon County",36083,US,"TIGER/Line® from the US Census Bureau",,
"Southern Union State Community College",Wadley,Alabama,33.207578,-85.480892,1,place,,,"Wadley, AL 36276",,,,,Wadley,AL,"Randolph County",36276,US,"TIGER/Line® from the US Census Bureau",,
"Strayer University-Alabama",Birmingham,Alabama,33.456412,-86.801904,1,place,,,"Birmingham, AL 35201",,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® from the US Census Bureau",,
"Alaska Pacific University",Anchorage,Alaska,61.220018,-149.855702,1,place,,,"Anchorage, AK 99501",,,,,Anchorage,AK,"Anchorage Municipality",99501,US,"TIGER/Line® from the US Census Bureau",,
"Arizona State University Campus Immersion",Tempe,Arizona,33.401395,-111.931298,1,place,,,"Tempe, AZ 85280",,,,,Tempe,AZ,"Maricopa County",85280,US,"TIGER/Line® from the US Census Bureau",,
"Cochise County Community College District","Sierra Vista",Arizona,31.571011,-110.170235,1,place,,,"Sierra Vista, AZ 85635",,,,,"Sierra Vista",AZ,"Cochise County",85635,US,"TIGER/Line® from the US Census Bureau",,
"Dine College",Tsaile,Arizona,36.3033,-109.21566,1,place,,,"Tsaile, AZ 86556",,,,,Tsaile,AZ,"Apache County",86556,US,"TIGER/Line® from the US Census Bureau",,
"Refrigeration School Inc",Phoenix,Arizona,33.703967,-112.351835,1,place,,,"Phoenix, AZ 85001",,,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® from the US Census Bureau",,
"Universal Technical Institute of Arizona Inc",Avondale,Arizona,33.4356,-112.3496,1,place,,,"Avondale, AZ 85323",,,,,Avondale,AZ,"Maricopa County",85323,US,"TIGER/Line® from the US Census Bureau",,
"Tohono O'odham Community College",Sells,Arizona,31.92031,-111.87716,1,place,,,"Sells, AZ 85634",,,,,Sells,AZ,"Pima County",85634,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Arizona",Phoenix,Arizona,33.703967,-112.351835,1,place,,,"Phoenix, AZ 85001",,,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® from the US Census Bureau",,
"Arizona State University Digital Immersion",Scottsdale,Arizona,33.534451,-111.887354,1,place,,,"Scottsdale, AZ 85250",,,,,Scottsdale,AZ,"Maricopa County",85250,US,"TIGER/Line® from the US Census Bureau",,
"Arkansas Tech University",Russellville,Arkansas,35.279127,-93.140877,1,place,,,"Russellville, AR 72801",,,,,Russellville,AR,"Pope County",72801,US,"TIGER/Line® from the US Census Bureau",,
"University of Arkansas at Monticello",Monticello,Arkansas,33.604967,-91.755955,1,place,,,"Monticello, AR 71655",,,,,Monticello,AR,"Drew County",71655,US,"TIGER/Line® from the US Census Bureau",,
