Institution,City,State,Latitude,Longitude
"California State University, Los Angeles",Los Angeles,California,34.0665,-118.1683
"California State University, San Bernardino",San Bernardino,California,34.1817,-117.3242
Ferris State University,Big Rapids,Michigan,43.684,-85.4862
Houston City College,Houston,Texas,29.7365,-95.3857
Lamar University,Beaumont,Texas,30.0404,-94.0745
Malcolm X College,Chicago,Illinois,41.8746,-87.6816
Prairie View A&M University,Prairie View,Texas,30.0933,-95.9877
Riverside City College,Riverside,California,33.9737,-117.3732
Southern Illinois University Carbondale,Carbondale,Illinois,37.7123,-89.2182
Southwestern College,Chula Vista,California,32.6404,-116.9944
Texas A&M International University,Laredo,Texas,27.5728,-99.435
"University of California, Merced",Merced,California,37.3652,-120.4241
"University of California, Riverside",Riverside,California,33.9737,-117.3281
University of Illinois Chicago,Chicago,Illinois,41.8708,-87.6505
University of Illinois Springfield,Springfield,Illinois,39.7308,-89.6165
University of Texas at El Paso,El Paso,Texas,31.7717,-106.5055
The University of Texas Rio Grande Valley,Edinburg,Texas,26.305,-98.1744
Wayne State University,Detroit,Michigan,42.3587,-83.0721
