academic_year,income_group,net_price
2008,"$0-30k",14718
2008,"$30-48k",16572
2008,"$48-75k",19789
2008,"$75-110k",22889
2008,"$110k+",25495
2009,"$0-30k",14774
2009,"$30-48k",16410
2009,"$48-75k",19637
2009,"$75-110k",22977
2009,"$110k+",25712
2010,"$0-30k",15576
2010,"$30-48k",16964
2010,"$48-75k",20082
2010,"$75-110k",23211
2010,"$110k+",25889
2011,"$0-30k",16193
2011,"$30-48k",17581
2011,"$48-75k",20532
2011,"$75-110k",23394
2011,"$110k+",25874
2012,"$0-30k",16336
2012,"$30-48k",17406
2012,"$48-75k",20234
2012,"$75-110k",23154
2012,"$110k+",25874
2013,"$0-30k",16220
2013,"$30-48k",17051
2013,"$48-75k",19787
2013,"$75-110k",22747
2013,"$110k+",25777
2014,"$0-30k",16433
2014,"$30-48k",17240
2014,"$48-75k",19981
2014,"$75-110k",22966
2014,"$110k+",26050
2015,"$0-30k",16381
2015,"$30-48k",17127
2015,"$48-75k",19853
2015,"$75-110k",22826
2015,"$110k+",26126
2016,"$0-30k",16262
2016,"$30-48k",16928
2016,"$48-75k",19631
2016,"$75-110k",22695
2016,"$110k+",25903
2017,"$0-30k",16003
2017,"$30-48k",16612
2017,"$48-75k",19115
2017,"$75-110k",22277
2017,"$110k+",25519
2018,"$0-30k",15677
2018,"$30-48k",16323
2018,"$48-75k",18901
2018,"$75-110k",22003
2018,"$110k+",25501
2019,"$0-30k",15870
2019,"$30-48k",16461
2019,"$48-75k",18905
2019,"$75-110k",22018
2019,"$110k+",25460
2020,"$0-30k",14945
2020,"$30-48k",15383
2020,"$48-75k",17689
2020,"$75-110k",20881
2020,"$110k+",24294
2021,"$0-30k",14159
2021,"$30-48k",14571
2021,"$48-75k",16614
2021,"$75-110k",19554
2021,"$110k+",22851
